Well Name,PW04B
USGS Number,383452114023402
Water Right Number,0718001M00(10)
WIN,430319
Latitude (NAD83),38.581146
Longitude (NAD83),-114.04273
UTM (NAD83)
Easting,757603.47
Northing,4274445.36
Zone,11N
Ground Elevation (ft amsl),6180.2
Height of casing above ground surface (ft),1.71
Borehole depth (ft),983
Screened Interval (ft),895-915
Screened Unit,Tertiary volcanic rocks
Barometric Efficiency,0.33
Completion date,08/30/2007
Logger type,Global Water
Barometric logger,Integrated Barometric Correction
Start of barometric correction,
Start of barometric Efficiency,2009-12-02
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-08-30 10:34:00,,,,0,593.56,0,593.56,591.85,5588.35,1,
2007-08-30 17:46:00,,,,0,593.56,0,593.56,591.85,5588.35,1,
2007-10-23 00:00:00,,,,0,593.62,0,593.62,591.91,5588.29,1,
2008-02-28 14:43:00,,,,0,593.46,0,593.46,591.75,5588.45,1,
2008-03-29 09:11:37,15.97,,,0.09,593.21,0,593.21,591.5,5588.7,0,
2008-03-29 21:11:37,16,,,0.12,593.18,0,593.18,591.47,5588.73,0,
2008-03-30 09:11:37,16.06,,,0.18,593.12,0,593.12,591.41,5588.79,0,
2008-03-30 21:11:37,15.98,,,0.1,593.2,0,593.2,591.49,5588.71,0,
2008-03-31 09:11:37,15.87,,,-0.01,593.31,0,593.31,591.6,5588.6,0,
2008-03-31 21:11:37,15.92,,,0.04,593.26,0,593.26,591.55,5588.65,0,
2008-04-01 09:11:37,15.99,,,0.11,593.19,0,593.19,591.48,5588.72,0,
2008-04-01 21:11:37,15.97,,,0.09,593.21,0,593.21,591.5,5588.7,0,
2008-04-02 09:11:37,16.01,,,0.13,593.17,0,593.17,591.46,5588.74,0,
2008-04-02 21:11:37,15.98,,,0.1,593.2,0,593.2,591.49,5588.71,0,
2008-04-03 09:11:37,15.93,,,0.05,593.25,0,593.25,591.54,5588.66,0,
2008-04-03 21:11:37,15.9,,,0.02,593.28,0,593.28,591.57,5588.63,0,
2008-04-04 09:11:37,15.98,,,0.1,593.2,0,593.2,591.49,5588.71,0,
2008-04-04 21:11:37,16.13,,,0.25,593.05,0,593.05,591.34,5588.86,0,
