Well Name,PW05A
USGS Number,390059114000401
Water Right Number,0718001M00(4)
WIN,430214
Latitude (NAD83),39.016315
Longitude (NAD83),-114.00123
UTM (NAD83)
Easting,759633.82
Northing,4322866.58
Zone,11N
Ground Elevation (ft amsl),5079.7
Height of casing above ground surface (ft),1.86
Borehole depth (ft),1000
Screened Interval (ft),138-158
Screened Unit,Quaternary-Tertiary sediment
Barometric Efficiency,0.1
Completion date,07/19/2007
Logger type,Global Water
Barometric logger,Integrated Barometric Correction
Start of barometric correction,
Start of barometric Efficiency,2009-12-01
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-07-16 12:00:00,,,,0,52.09,0,52.09,50.23,5029.47,1,
2007-07-23 12:00:00,,,,0,52.03,0,52.03,50.17,5029.53,1,
2007-08-30 12:00:00,,,,0,52.07,0,52.07,50.21,5029.49,1,
2007-09-22 12:00:00,,,,0,52.1,0,52.1,50.24,5029.46,1,
2007-09-27 12:00:00,,,,0,52.08,0,52.08,50.22,5029.48,1,
2007-10-23 12:00:00,,,,0,52.18,0,52.18,50.32,5029.38,1,
2007-11-14 02:43:29,16.85,,,0,52.18,0,52.18,50.32,5029.38,0,
2007-11-14 14:43:29,16.86,,,0.01,52.17,0,52.17,50.31,5029.39,0,
2007-11-15 02:43:29,16.9,,,0.05,52.13,0,52.13,50.27,5029.43,0,
2007-11-15 14:43:29,16.95,,,0.1,52.08,0,52.08,50.22,5029.48,0,
2007-11-16 02:43:29,16.94,,,0.09,52.09,0,52.09,50.23,5029.47,0,
2007-11-16 14:43:29,16.92,,,0.07,52.11,0,52.11,50.25,5029.45,0,
2007-11-17 02:43:29,16.93,,,0.08,52.1,0,52.1,50.24,5029.46,0,
2007-11-17 14:43:29,16.92,,,0.07,52.11,0,52.11,50.25,5029.45,0,
2007-11-18 02:43:29,16.92,,,0.07,52.11,0,52.11,50.25,5029.45,0,
2007-11-18 14:43:29,16.94,,,0.09,52.09,0,52.09,50.23,5029.47,0,
2007-11-19 02:43:29,16.95,,,0.1,52.08,0,52.08,50.22,5029.48,0,
2007-11-19 14:43:29,16.97,,,0.12,52.06,0,52.06,50.2,5029.5,0,
2007-11-20 02:43:29,16.95,,,0.1,52.08,0,52.08,50.22,5029.48,0,
2007-11-20 14:43:29,16.94,,,0.09,52.09,0,52.09,50.23,5029.47,0,
2007-11-21 02:43:29,16.9,,,0.05,52.13,0,52.13,50.27,5029.43,0,
2007-11-21 14:43:29,16.9,,,0.05,52.13,0,52.13,50.27,5029.43,0,
2007-11-22 02:43:29,16.96,,,0.11,52.07,0,52.07,50.21,5029.49,0,
2007-11-22 14:43:29,16.98,,,0.13,52.05,0,52.05,50.19,5029.51,0,
2007-11-23 02:43:29,16.99,,,0.14,52.04,0,52.04,50.18,5029.52,0,
2007-11-23 14:43:29,16.95,,,0.1,52.08,0,52.08,50.22,5029.48,0,
2007-11-24 02:43:29,16.92,,,0.07,52.11,0,52.11,50.25,5029.45,0,
2007-11-24 14:43:29,16.91,,,0.06,52.12,0,52.12,50.26,5029.44,0,
2007-11-25 02:43:29,16.94,,,0.09,52.09,0.01,52.08,50.22,5029.48,0,
2007-11-25 14:43:29,16.95,,,0.1,52.08,0.01,52.07,50.21,5029.49,0,
2007-11-26 02:43:29,16.9,,,0.05,52.13,0.01,52.12,50.26,5029.44,0,
2007-11-26 14:43:29,16.87,,,0.02,52.16,0.01,52.15,50.29,5029.41,0,
2007-11-27 02:43:29,16.93,,,0.08,52.1,0.01,52.09,50.23,5029.47,0,
2007-11-27 14:43:29,16.96,,,0.11,52.07,0.01,52.06,50.2,5029.5,0,
2007-11-28 02:43:29,16.86,,,0.01,52.17,0.01,52.16,50.3,5029.4,0,
2007-11-28 14:43:29,16.86,,,0.01,52.17,0.01,52.16,50.3,5029.4,0,
2007-11-29 02:43:29,16.96,,,0.11,52.07,0.01,52.06,50.2,5029.5,0,
2007-11-29 14:43:29,16.97,,,0.12,52.06,0.01,52.05,50.19,5029.51,0,
2007-11-30 02:43:29,16.99,,,0.14,52.04,0.01,52.03,50.17,5029.53,0,
2007-11-30 14:43:29,17.04,,,0.19,51.99,0.01,51.98,50.12,5029.58,0,
2007-12-01 02:43:29,17.06,,,0.21,51.97,0.01,51.96,50.1,5029.6,0,
2007-12-01 14:43:29,17,,,0.15,52.03,0.01,52.02,50.16,5029.54,0,
2007-12-02 02:43:29,16.88,,,0.03,52.15,0.01,52.14,50.28,5029.42,0,
2007-12-02 14:43:29,16.84,,,-0.01,52.19,0.01,52.18,50.32,5029.38,0,
2007-12-03 02:43:29,16.84,,,-0.01,52.19,0.01,52.18,50.32,5029.38,0,
2007-12-03 14:43:29,16.84,,,-0.01,52.19,0.01,52.18,50.32,5029.38,0,
2007-12-04 02:43:29,16.87,,,0.02,52.16,0.01,52.15,50.29,5029.41,0,
2007-12-04 14:43:29,16.9,,,0.05,52.13,0.01,52.12,50.26,5029.44,0,
2007-12-05 02:43:29,16.93,,,0.08,52.1,0.01,52.09,50.23,5029.47,0,
2007-12-05 14:43:29,16.97,,,0.12,52.06,0.01,52.05,50.19,5029.51,0,
2007-12-06 02:43:29,17,,,0.15,52.03,0.01,52.02,50.16,5029.54,0,
2007-12-06 14:43:29,17,,,0.15,52.03,0.01,52.02,50.16,5029.54,0,
2007-12-07 02:43:29,17.04,,,0.19,51.99,0.01,51.98,50.12,5029.58,0,
2007-12-07 14:43:29,17,,,0.15,52.03,0.01,52.02,50.16,5029.54,0,
2007-12-08 02:43:29,17.14,,,0.29,51.89,0.01,51.88,50.02,5029.68,0,
2007-12-08 14:43:29,17.01,,,0.16,52.02,0.01,52.01,50.15,5029.55,0,
2007-12-09 02:43:29,16.92,,,0.07,52.11,0.01,52.1,50.24,5029.46,0,
2007-12-09 14:43:29,16.9,,,0.05,52.13,0.01,52.12,50.26,5029.44,0,
2007-12-10 02:43:29,16.94,,,0.09,52.09,0.01,52.08,50.22,5029.48,0,
2007-12-10 14:43:29,16.97,,,0.12,52.06,0.01,52.05,50.19,5029.51,0,
2007-12-11 02:43:29,16.93,,,0.08,52.1,0.01,52.09,50.23,5029.47,0,
2007-12-11 14:43:29,16.86,,,0.01,52.17,0.01,52.16,50.3,5029.4,0,
2007-12-12 02:43:29,16.88,,,0.03,52.15,0.01,52.14,50.28,5029.42,0,
2007-12-12 14:43:29,16.87,,,0.02,52.16,0.01,52.15,50.29,5029.41,0,
2007-12-13 02:43:29,16.91,,,0.06,52.12,0.01,52.11,50.25,5029.45,0,
2007-12-13 14:43:29,16.91,,,0.06,52.12,0.01,52.11,50.25,5029.45,0,
2007-12-14 02:43:29,16.91,,,0.06,52.12,0.01,52.11,50.25,5029.45,0,
2007-12-14 14:43:29,16.86,,,0.01,52.17,0.01,52.16,50.3,5029.4,0,
2007-12-15 02:43:29,16.9,,,0.05,52.13,0.01,52.12,50.26,5029.44,0,
2007-12-15 14:43:29,16.9,,,0.05,52.13,0.01,52.12,50.26,5029.44,0,
2007-12-16 02:43:29,16.94,,,0.09,52.09,0.02,52.07,50.21,5029.49,0,
2007-12-16 14:43:29,16.93,,,0.08,52.1,0.02,52.08,50.22,5029.48,0,
2007-12-17 02:43:29,16.97,,,0.12,52.06,0.02,52.04,50.18,5029.52,0,
2007-12-17 14:43:29,16.93,,,0.08,52.1,0.02,52.08,50.22,5029.48,0,
2007-12-18 02:43:29,16.94,,,0.09,52.09,0.02,52.07,50.21,5029.49,0,
2007-12-18 14:43:29,16.92,,,0.07,52.11,0.02,52.09,50.23,5029.47,0,
2007-12-19 02:43:29,16.94,,,0.09,52.09,0.02,52.07,50.21,5029.49,0,
2007-12-19 14:43:29,16.9,,,0.05,52.13,0.02,52.11,50.25,5029.45,0,
2007-12-20 02:43:29,16.95,,,0.1,52.08,0.02,52.06,50.2,5029.5,0,
2007-12-20 14:43:29,16.98,,,0.13,52.05,0.02,52.03,50.17,5029.53,0,
2007-12-21 02:43:29,16.91,,,0.06,52.12,0.02,52.1,50.24,5029.46,0,
2007-12-21 14:43:29,16.86,,,0.01,52.17,0.02,52.15,50.29,5029.41,0,
2007-12-22 02:43:29,16.84,,,-0.01,52.19,0.02,52.17,50.31,5029.39,0,
2007-12-22 14:43:29,16.83,,,-0.02,52.2,0.02,52.18,50.32,5029.38,0,
2007-12-23 02:43:29,16.86,,,0.01,52.17,0.02,52.15,50.29,5029.41,0,
2007-12-23 14:43:29,16.84,,,-0.01,52.19,0.02,52.17,50.31,5029.39,0,
2007-12-24 02:43:29,16.87,,,0.02,52.16,0.02,52.14,50.28,5029.42,0,
2007-12-24 14:43:29,16.96,,,0.11,52.07,0.02,52.05,50.19,5029.51,0,
2007-12-25 02:43:29,16.85,,,0,52.18,0.02,52.16,50.3,5029.4,0,
2007-12-25 14:43:29,16.86,,,0.01,52.17,0.02,52.15,50.29,5029.41,0,
2007-12-26 02:43:29,16.93,,,0.08,52.1,0.02,52.08,50.22,5029.48,0,
2007-12-26 14:43:29,16.96,,,0.11,52.07,0.02,52.05,50.19,5029.51,0,
2007-12-27 02:43:29,16.91,,,0.06,52.12,0.02,52.1,50.24,5029.46,0,
2007-12-27 14:43:29,16.88,,,0.03,52.15,0.02,52.13,50.27,5029.43,0,
2007-12-28 02:43:29,16.91,,,0.06,52.12,0.02,52.1,50.24,5029.46,0,
2007-12-28 14:43:29,16.9,,,0.05,52.13,0.02,52.11,50.25,5029.45,0,
2007-12-29 02:43:29,16.9,,,0.05,52.13,0.02,52.11,50.25,5029.45,0,
2007-12-29 14:43:29,16.91,,,0.06,52.12,0.02,52.1,50.24,5029.46,0,
2007-12-30 02:43:29,16.89,,,0.04,52.14,0.02,52.12,50.26,5029.44,0,
2007-12-30 14:43:29,16.86,,,0.01,52.17,0.02,52.15,50.29,5029.41,0,
2007-12-31 02:43:29,16.83,,,-0.02,52.2,0.02,52.18,50.32,5029.38,0,
2007-12-31 14:43:29,16.78,,,-0.07,52.25,0.02,52.23,50.37,5029.33,0,
2008-01-01 02:43:29,16.81,,,-0.04,52.22,0.02,52.2,50.34,5029.36,0,
2008-01-01 14:43:29,16.79,,,-0.06,52.24,0.02,52.22,50.36,5029.34,0,
2008-01-02 02:43:29,16.88,,,0.03,52.15,0.02,52.13,50.27,5029.43,0,
2008-01-02 14:43:29,16.89,,,0.04,52.14,0.02,52.12,50.26,5029.44,0,
2008-01-03 02:43:29,16.93,,,0.08,52.1,0.02,52.08,50.22,5029.48,0,
2008-01-03 14:43:29,16.92,,,0.07,52.11,0.02,52.09,50.23,5029.47,0,
2008-01-04 02:43:29,16.94,,,0.09,52.09,0.02,52.07,50.21,5029.49,0,
2008-01-04 14:43:29,16.95,,,0.1,52.08,0.02,52.06,50.2,5029.5,0,
2008-01-05 02:43:29,17.02,,,0.17,52.01,0.02,51.99,50.13,5029.57,0,
2008-01-05 14:43:29,16.96,,,0.11,52.07,0.02,52.05,50.19,5029.51,0,
2008-01-06 02:43:29,16.98,,,0.13,52.05,0.02,52.03,50.17,5029.54,0,
2008-01-06 14:43:29,16.93,,,0.08,52.1,0.03,52.07,50.21,5029.49,0,
2008-01-07 02:43:29,16.9,,,0.05,52.13,0.03,52.1,50.24,5029.46,0,
2008-01-07 14:43:29,16.88,,,0.03,52.15,0.03,52.12,50.26,5029.44,0,
2008-01-08 02:43:29,16.82,,,-0.03,52.21,0.03,52.18,50.32,5029.38,0,
2008-01-08 14:43:29,16.89,,,0.04,52.14,0.03,52.11,50.25,5029.45,0,
2008-01-09 02:43:29,16.87,,,0.02,52.16,0.03,52.13,50.27,5029.43,0,
2008-01-09 14:43:29,16.83,,,-0.02,52.2,0.03,52.17,50.31,5029.39,0,
2008-01-10 02:43:29,16.81,,,-0.04,52.22,0.03,52.19,50.33,5029.37,0,
2008-01-10 14:43:29,16.85,,,0,52.18,0.03,52.15,50.29,5029.41,0,
2008-01-11 02:43:29,16.86,,,0.01,52.17,0.03,52.14,50.28,5029.42,0,
2008-01-11 14:43:29,16.82,,,-0.03,52.21,0.03,52.18,50.32,5029.38,0,
2008-01-12 02:43:29,16.79,,,-0.06,52.24,0.03,52.21,50.35,5029.35,0,
2008-01-12 14:43:29,16.81,,,-0.04,52.22,0.03,52.19,50.33,5029.37,0,
2008-01-13 02:43:29,16.81,,,-0.04,52.22,0.03,52.19,50.33,5029.37,0,
2008-01-13 14:43:29,16.77,,,-0.08,52.26,0.03,52.23,50.37,5029.33,0,
2008-01-14 02:43:29,16.77,,,-0.08,52.26,0.03,52.23,50.37,5029.33,0,
2008-01-14 14:43:29,16.77,,,-0.08,52.26,0.03,52.23,50.37,5029.33,0,
2008-01-15 02:43:29,16.89,,,0.04,52.14,0.03,52.11,50.25,5029.45,0,
2008-01-15 14:43:29,16.84,,,-0.01,52.19,0.03,52.16,50.3,5029.4,0,
2008-01-16 02:43:29,16.86,,,0.01,52.17,0.03,52.14,50.28,5029.42,0,
2008-01-16 14:43:29,16.83,,,-0.02,52.2,0.03,52.17,50.31,5029.39,0,
2008-01-17 02:43:29,16.87,,,0.02,52.16,0.03,52.13,50.27,5029.43,0,
2008-01-17 14:43:29,16.83,,,-0.02,52.2,0.03,52.17,50.31,5029.39,0,
2008-01-18 02:43:29,16.86,,,0.01,52.17,0.03,52.14,50.28,5029.42,0,
2008-01-18 14:43:29,16.79,,,-0.06,52.24,0.03,52.21,50.35,5029.35,0,
2008-01-19 02:43:29,16.82,,,-0.03,52.21,0.03,52.18,50.32,5029.38,0,
2008-01-19 14:43:29,16.84,,,-0.01,52.19,0.03,52.16,50.3,5029.4,0,
2008-01-20 02:43:29,16.93,,,0.08,52.1,0.03,52.07,50.21,5029.49,0,
