Well Name,PW01A
USGS Number,385628114025701
Water Right Number,0718001M00(1)
WIN,430279
Latitude (NAD83),38.941208
Longitude (NAD83),-114.0492
UTM (NAD83)
Easting,755750.1
Northing,4314393.33
Zone,11N
Ground Elevation (ft amsl),5312.7
Height of casing above ground surface (ft),2.58
Borehole depth (ft),1847
Screened Interval (ft),240-260
Screened Unit,Quaternary-Tertiary sediment
Barometric Efficiency,0
Completion date,08/21/2007
Logger type,Global Water
Barometric logger,Logger at Site 03
Start of barometric correction,2010-06-08
Start of barometric Efficiency,
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-08-23 11:30:00,,,,0,94.24,0,94.24,91.66,5221.04,1,
2007-08-30 13:26:00,,,,0,93.55,0,93.55,90.97,5221.73,1,
2007-09-22 12:00:00,,,,0,93.1,0,93.1,90.52,5222.18,1,
2007-09-27 12:00:00,,,,0,93.72,0,93.72,91.14,5221.56,1,
2007-10-23 12:00:00,,,,0,93.45,0,93.45,90.87,5221.83,1,
2007-11-14 07:53:00,,,,0,93.29,0,93.29,90.71,5221.99,1,
2008-02-28 10:36:00,,,,0,93,0,93,90.42,5222.28,1,
2008-02-28 22:37:00,8.13,,,0,93,0,93,90.42,5222.28,0,
2008-02-29 10:37:00,8.13,,,0,93,0,93,90.42,5222.28,0,
2008-02-29 22:37:00,8.2,,,0.07,92.93,0,92.94,90.36,5222.34,0,
2008-03-01 10:37:00,8.23,,,0.1,92.9,0,92.9,90.32,5222.38,0,
2008-03-01 22:37:00,8.1,,,-0.03,93.03,0,93.04,90.46,5222.24,0,
2008-03-02 10:37:00,8.07,,,-0.07,93.07,0,93.07,90.49,5222.21,0,
2008-03-02 22:37:00,8.07,,,-0.07,93.07,0,93.07,90.49,5222.21,0,
2008-03-03 10:37:00,8.07,,,-0.07,93.07,0,93.07,90.49,5222.21,0,
2008-03-03 22:37:00,8.2,,,0.07,92.93,0,92.94,90.36,5222.34,0,
2008-03-04 10:37:00,8.2,,,0.07,92.93,-0.01,92.94,90.36,5222.34,0,
2008-03-04 22:37:00,8.17,,,0.03,92.97,-0.01,92.97,90.39,5222.31,0,
2008-03-05 10:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-05 22:37:00,8.17,,,0.03,92.97,-0.01,92.97,90.39,5222.31,0,
2008-03-06 10:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-06 22:37:00,8.07,,,-0.07,93.07,-0.01,93.07,90.49,5222.21,0,
2008-03-07 10:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-07 22:37:00,8.17,,,0.03,92.97,-0.01,92.98,90.4,5222.3,0,
2008-03-08 10:37:00,8.2,,,0.07,92.93,-0.01,92.94,90.36,5222.34,0,
2008-03-08 22:37:00,8.13,,,0,93,-0.01,93.01,90.43,5222.27,0,
2008-03-09 10:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-09 22:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-10 10:37:00,8.1,,,-0.03,93.03,-0.01,93.04,90.46,5222.24,0,
2008-03-10 22:37:00,8.1,,,-0.03,93.03,-0.01,93.05,90.47,5222.23,0,
2008-03-11 10:37:00,8.13,,,0,93,-0.01,93.01,90.43,5222.27,0,
2008-03-11 22:37:00,8.17,,,0.03,92.97,-0.01,92.98,90.4,5222.3,0,
2008-03-12 10:37:00,8.2,,,0.07,92.93,-0.01,92.95,90.37,5222.33,0,
2008-03-12 22:37:00,8.23,,,0.1,92.9,-0.01,92.92,90.34,5222.36,0,
2008-03-13 10:37:00,8.27,,,0.13,92.87,-0.02,92.88,90.3,5222.4,0,
2008-03-13 22:37:00,8.33,,,0.2,92.8,-0.02,92.82,90.24,5222.46,0,
2008-03-14 10:37:00,8.23,,,0.1,92.9,-0.02,92.92,90.34,5222.36,0,
2008-03-14 22:37:00,8.2,,,0.07,92.93,-0.02,92.95,90.37,5222.33,0,
2008-03-15 10:37:00,8.23,,,0.1,92.9,-0.02,92.92,90.34,5222.36,0,
2008-03-15 22:37:00,8.27,,,0.13,92.87,-0.02,92.89,90.31,5222.39,0,
2008-03-16 10:37:00,8.2,,,0.07,92.93,-0.02,92.95,90.37,5222.33,0,
2008-03-16 22:37:00,8.13,,,0,93,-0.02,93.02,90.44,5222.26,0,
2008-03-17 10:37:00,8.13,,,0,93,-0.02,93.02,90.44,5222.26,0,
2008-03-17 22:37:00,8.1,,,-0.03,93.03,-0.02,93.05,90.47,5222.23,0,
2008-03-18 10:37:00,8.13,,,0,93,-0.02,93.02,90.44,5222.26,0,
2008-03-18 22:37:00,8.13,,,0,93,-0.02,93.02,90.44,5222.26,0,
2008-03-19 10:37:00,8.23,,,0.1,92.9,-0.02,92.92,90.34,5222.36,0,
2008-03-19 22:37:00,8.23,,,0.1,92.9,-0.02,92.92,90.34,5222.36,0,
2008-03-20 10:37:00,8.17,,,0.03,92.97,-0.02,92.99,90.41,5222.29,0,
2008-03-20 22:37:00,8.2,,,0.07,92.93,-0.02,92.96,90.38,5222.32,0,
2008-03-21 10:37:00,8.17,,,0.03,92.97,-0.02,92.99,90.41,5222.29,0,
2008-03-21 22:37:00,8.13,,,0,93,-0.02,93.02,90.44,5222.26,0,
2008-03-22 10:37:00,8.07,,,-0.07,93.07,-0.03,93.09,90.51,5222.19,0,
2008-03-22 22:37:00,8.07,,,-0.07,93.07,-0.03,93.09,90.51,5222.19,0,
2008-03-23 10:37:00,8.17,,,0.03,92.97,-0.03,92.99,90.41,5222.29,0,
2008-03-23 22:37:00,8.17,,,0.03,92.97,-0.03,92.99,90.41,5222.29,0,
2008-03-24 10:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-24 22:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-25 10:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-25 22:37:00,8.2,,,0.07,92.93,-0.03,92.96,90.38,5222.32,0,
2008-03-26 10:37:00,8.27,,,0.13,92.87,-0.03,92.9,90.32,5222.38,0,
2008-03-26 22:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-27 10:37:00,8.2,,,0.07,92.93,-0.03,92.96,90.38,5222.32,0,
2008-03-27 22:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-28 10:37:00,8.2,,,0.07,92.93,-0.03,92.97,90.39,5222.31,0,
2008-03-28 22:37:00,8.27,,,0.13,92.87,-0.03,92.9,90.32,5222.38,0,
2008-03-29 10:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-29 22:37:00,8.23,,,0.1,92.9,-0.03,92.93,90.35,5222.35,0,
2008-03-30 10:37:00,8.3,,,0.16,92.84,-0.03,92.87,90.29,5222.41,0,
2008-03-30 22:37:00,8.2,,,0.07,92.93,-0.03,92.97,90.39,5222.31,0,
2008-03-31 10:37:00,8.1,,,-0.03,93.03,-0.04,93.07,90.49,5222.21,0,
2008-03-31 22:37:00,8.17,,,0.03,92.97,-0.04,93,90.42,5222.28,0,
2008-04-01 10:37:00,8.2,,,0.07,92.93,-0.04,92.97,90.39,5222.31,0,
2008-04-01 22:37:00,8.23,,,0.1,92.9,-0.04,92.94,90.36,5222.34,0,
2008-04-02 10:37:00,8.2,,,0.07,92.93,-0.04,92.97,90.39,5222.31,0,
2008-04-02 22:37:00,8.2,,,0.07,92.93,-0.04,92.97,90.39,5222.31,0,
2008-04-03 10:37:00,8.2,,,0.07,92.93,-0.04,92.97,90.39,5222.31,0,
2008-04-03 22:37:00,8.13,,,0,93,-0.04,93.04,90.46,5222.24,0,
