Well Name,PW05B
USGS Number,390059114000402
Water Right Number,0718001M00(4)
WIN,430214
Latitude (NAD83),39.016315
Longitude (NAD83),-114.00123
UTM (NAD83)
Easting,759633.82
Northing,4322866.58
Zone,11N
Ground Elevation (ft amsl),5079.7
Height of casing above ground surface (ft),1.63
Borehole depth (ft),1000
Screened Interval (ft),610-650
Screened Unit,Quaternary-Tertiary sediment
Barometric Efficiency,0.25
Completion date,07/19/2007
Logger type,Global Water
Barometric logger,Integrated Barometric Correction
Start of barometric correction,
Start of barometric Efficiency,2009-12-01
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-07-16 12:00:00,,,,0,58,0,58,56.37,5023.33,1,
2007-07-23 12:00:00,,,,0,46.04,0,46.04,44.41,5035.29,1,
2007-08-30 12:00:00,,,,0,42.42,0,42.42,40.79,5038.91,1,
2007-09-22 12:00:00,,,,0,42.15,0,42.15,40.52,5039.18,1,
2007-09-27 12:00:00,,,,0,42.08,0,42.08,40.45,5039.25,1,
2007-10-23 12:00:00,,,,0,42.21,0,42.21,40.58,5039.12,1,
2007-11-16 15:27:14,22.56,,,0,42.19,0,42.19,40.56,5039.14,0,
2007-11-17 03:27:14,22.65,,,-0.12,42.1,0,42.1,40.47,5039.23,0,
2007-11-17 15:27:14,22.61,,,-0.16,42.14,0,42.14,40.51,5039.19,0,
2007-11-18 03:27:14,22.65,,,-0.12,42.1,0,42.1,40.47,5039.23,0,
2007-11-18 15:27:14,22.62,,,-0.15,42.13,0,42.13,40.5,5039.2,0,
2007-11-19 03:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-19 15:27:14,22.66,,,-0.11,42.09,0,42.09,40.46,5039.24,0,
2007-11-20 03:27:14,22.69,,,-0.08,42.06,0,42.06,40.43,5039.27,0,
2007-11-20 15:27:14,22.64,,,-0.13,42.11,0,42.11,40.48,5039.22,0,
2007-11-21 03:27:14,22.64,,,-0.13,42.11,0,42.11,40.48,5039.22,0,
2007-11-21 15:27:14,22.42,,,-0.35,42.33,0,42.33,40.7,5039,0,
2007-11-22 03:27:14,22.64,,,-0.13,42.11,0,42.11,40.48,5039.22,0,
2007-11-22 15:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-23 03:27:14,22.69,,,-0.08,42.06,0,42.06,40.43,5039.27,0,
2007-11-23 15:27:14,22.66,,,-0.11,42.09,0,42.09,40.46,5039.24,0,
2007-11-24 03:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-24 15:27:14,22.62,,,-0.15,42.13,0,42.13,40.5,5039.2,0,
2007-11-25 03:27:14,22.68,,,-0.09,42.07,0,42.07,40.44,5039.26,0,
2007-11-25 15:27:14,22.65,,,-0.12,42.1,0,42.1,40.47,5039.23,0,
2007-11-26 03:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-26 15:27:14,22.6,,,-0.17,42.15,0,42.15,40.52,5039.18,0,
2007-11-27 03:27:14,22.65,,,-0.12,42.1,0,42.1,40.47,5039.23,0,
2007-11-27 15:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-28 03:27:14,22.66,,,-0.11,42.09,0,42.09,40.46,5039.24,0,
2007-11-28 15:27:14,22.58,,,-0.19,42.17,0,42.17,40.54,5039.16,0,
2007-11-29 03:27:14,22.67,,,-0.1,42.08,0,42.08,40.45,5039.25,0,
2007-11-29 15:27:14,22.69,,,-0.08,42.06,0,42.06,40.43,5039.27,0,
2007-11-30 03:27:14,22.73,,,-0.04,42.02,0,42.02,40.39,5039.31,0,
2007-11-30 15:27:14,22.77,,,0,41.98,0,41.98,40.35,5039.35,0,
2007-12-01 03:27:14,22.85,,,0.08,41.9,0,41.9,40.27,5039.43,0,
2007-12-01 15:27:14,22.8,,,0.03,41.95,0,41.95,40.32,5039.38,0,
2007-12-02 03:27:14,22.78,,,0.01,41.97,0,41.97,40.34,5039.36,0,
2007-12-02 15:27:14,22.68,,,-0.09,42.07,0,42.07,40.44,5039.26,0,
2007-12-03 03:27:14,22.64,,,-0.13,42.11,0,42.11,40.48,5039.22,0,
2007-12-03 15:27:14,22.57,,,-0.2,42.18,0,42.18,40.55,5039.15,0,
2007-12-04 03:27:14,22.61,,,-0.16,42.14,0,42.14,40.51,5039.19,0,
2007-12-04 15:27:14,22.57,,,-0.2,42.18,0,42.18,40.55,5039.15,0,
2007-12-05 03:27:14,22.64,,,-0.13,42.11,0,42.11,40.48,5039.22,0,
2007-12-05 15:27:14,22.65,,,-0.12,42.1,0,42.1,40.47,5039.23,0,
2007-12-06 03:27:14,22.73,,,-0.04,42.02,0,42.02,40.39,5039.31,0,
2007-12-06 15:27:14,22.73,,,-0.04,42.02,0,42.02,40.39,5039.31,0,
2007-12-07 03:27:14,22.79,,,0.02,41.96,0,41.96,40.33,5039.37,0,
2007-12-07 15:27:14,22.83,,,0.06,41.92,0,41.92,40.29,5039.41,0,
2007-12-08 03:27:14,22.81,,,0.04,41.94,0,41.94,40.31,5039.39,0,
2007-12-08 15:27:14,22.81,,,0.04,41.94,0,41.94,40.31,5039.39,0,
2007-12-09 03:27:14,22.78,,,0.01,41.97,0,41.97,40.34,5039.36,0,
2007-12-09 15:27:14,22.73,,,-0.04,42.02,0,42.02,40.39,5039.31,0,
2007-12-10 03:27:14,22.76,,,-0.01,41.99,0,41.99,40.36,5039.34,0,
2007-12-10 15:27:14,22.76,,,-0.01,41.99,0,41.99,40.36,5039.34,0,
