Well Name,PW01B
USGS Number,385628114025702
Water Right Number,0718001M00(1)
WIN,430279
Latitude (NAD83),38.941208
Longitude (NAD83),-114.0492
UTM (NAD83)
Easting,755750.1
Northing,4314393.33
Zone,11N
Ground Elevation (ft amsl),5312.7
Height of casing above ground surface (ft),2.28
Borehole depth (ft),1847
Screened Interval (ft),945-965 
Screened Unit,Quaternary-Tertiary sediment
Barometric Efficiency,0
Completion date,08/21/2007
Logger type,Global Water until 6/8/10, then Solinst
Barometric logger,Logger at Site 03
Start of barometric correction,2010-06-08
Start of barometric Efficiency,
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-08-23 11:35:00,,,,0,95.4,0,95.4,93.12,5219.58,1,
2007-08-30 13:24:00,,,,0,94.22,0,94.22,91.94,5220.76,1,
2007-09-22 12:00:00,,,,0,94.85,0,94.85,92.57,5220.13,1,
2007-09-27 12:00:00,,,,0,94.11,0,94.11,91.83,5220.87,1,
2007-10-23 12:00:00,,,,0,93.67,0,93.67,91.39,5221.31,1,
2007-10-23 08:11:00,7.49,,,0,93.67,0,93.67,91.39,5221.31,0,
2007-10-24 08:11:00,7.62,,,0.13,93.54,0,93.54,91.26,5221.44,0,
2007-10-25 08:11:00,7.74,,,0.25,93.42,-0.01,93.43,91.15,5221.55,0,
2007-10-26 08:11:00,7.74,,,0.25,93.42,-0.01,93.43,91.15,5221.55,0,
2007-10-27 08:11:00,7.65,,,0.16,93.51,-0.02,93.53,91.25,5221.45,0,
2007-10-28 08:11:00,7.65,,,0.16,93.51,-0.02,93.53,91.25,5221.45,0,
2007-10-29 08:11:00,7.73,,,0.24,93.43,-0.03,93.46,91.18,5221.52,0,
2007-10-30 08:11:00,7.76,,,0.27,93.4,-0.03,93.43,91.15,5221.55,0,
2007-10-31 08:11:00,7.64,,,0.15,93.52,-0.04,93.56,91.28,5221.42,0,
2007-11-01 08:11:00,7.71,,,0.22,93.45,-0.04,93.49,91.21,5221.49,0,
2007-11-02 08:11:00,7.64,,,0.15,93.52,-0.05,93.57,91.29,5221.41,0,
2007-11-03 08:11:00,7.62,,,0.13,93.54,-0.05,93.59,91.31,5221.39,0,
2007-11-04 08:11:00,7.68,,,0.19,93.48,-0.06,93.54,91.26,5221.44,0,
2007-11-05 08:11:00,7.7,,,0.21,93.46,-0.06,93.52,91.24,5221.46,0,
2007-11-06 08:11:00,7.72,,,0.23,93.44,-0.07,93.51,91.23,5221.47,0,
2007-11-07 08:11:00,7.73,,,0.24,93.43,-0.07,93.5,91.22,5221.48,0,
2007-11-08 08:11:00,7.79,,,0.3,93.37,-0.08,93.45,91.17,5221.53,0,
2007-11-09 08:11:00,7.82,,,0.33,93.34,-0.08,93.42,91.14,5221.56,0,
2007-11-10 08:11:00,7.85,,,0.36,93.31,-0.09,93.4,91.12,5221.58,0,
2007-11-11 08:11:00,7.89,,,0.4,93.27,-0.09,93.36,91.08,5221.62,0,
2007-11-12 08:11:00,7.73,,,0.24,93.43,-0.1,93.53,91.25,5221.45,0,
2007-11-13 08:11:00,7.84,,,0.35,93.32,-0.1,93.42,91.14,5221.56,0,
2007-11-14 07:53:00,,,,0,93.42,0,93.42,91.14,5221.56,1,
2007-11-14 08:11:00,7.75,,,0,93.42,0,93.42,91.14,5221.56,0,
2007-11-14 21:30:00,7.75,,,0,93.42,0,93.42,91.14,5221.56,0,
2007-11-15 09:30:00,7.87,,,0.12,93.3,0,93.3,91.02,5221.68,0,
2007-11-15 21:30:00,7.83,,,0.08,93.34,0,93.34,91.06,5221.64,0,
2007-11-16 09:30:00,7.87,,,0.12,93.3,0,93.3,91.02,5221.68,0,
2007-11-16 21:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-17 09:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-17 21:30:00,7.81,,,0.06,93.36,0,93.36,91.08,5221.62,0,
2007-11-18 09:30:00,7.82,,,0.07,93.35,0,93.35,91.07,5221.63,0,
2007-11-18 21:30:00,7.83,,,0.08,93.34,0,93.34,91.06,5221.64,0,
2007-11-19 09:30:00,7.86,,,0.11,93.31,0,93.31,91.03,5221.67,0,
2007-11-19 21:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-20 09:30:00,7.81,,,0.06,93.36,0,93.36,91.08,5221.62,0,
2007-11-20 21:30:00,7.73,,,-0.02,93.44,0,93.44,91.16,5221.54,0,
2007-11-21 09:30:00,7.77,,,0.02,93.4,0,93.4,91.12,5221.58,0,
2007-11-21 21:30:00,7.75,,,0,93.42,0,93.42,91.14,5221.56,0,
2007-11-22 09:30:00,7.91,,,0.16,93.26,0,93.26,90.98,5221.72,0,
2007-11-22 21:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-23 09:30:00,7.93,,,0.18,93.24,0,93.24,90.96,5221.74,0,
2007-11-23 21:30:00,7.79,,,0.04,93.38,0,93.38,91.1,5221.6,0,
2007-11-24 09:30:00,7.93,,,0.18,93.24,0,93.24,90.96,5221.74,0,
2007-11-24 21:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-25 09:30:00,7.99,,,0.24,93.18,0,93.18,90.9,5221.8,0,
2007-11-25 21:30:00,7.86,,,0.11,93.31,0,93.31,91.03,5221.67,0,
2007-11-26 09:30:00,7.88,,,0.13,93.29,0,93.29,91.01,5221.69,0,
2007-11-26 21:30:00,7.86,,,0.11,93.31,0,93.31,91.03,5221.67,0,
2007-11-27 09:30:00,8.02,,,0.27,93.15,0,93.15,90.87,5221.83,0,
2007-11-27 21:30:00,7.86,,,0.11,93.31,0,93.31,91.03,5221.67,0,
2007-11-28 09:30:00,7.84,,,0.09,93.33,0,93.33,91.05,5221.65,0,
2007-11-28 21:30:00,7.91,,,0.16,93.26,0,93.26,90.98,5221.72,0,
2007-11-29 09:30:00,8,,,0.25,93.17,0,93.17,90.89,5221.81,0,
2007-11-29 21:30:00,7.98,,,0.23,93.19,0,93.19,90.91,5221.79,0,
2007-11-30 09:30:00,8.08,,,0.33,93.09,0,93.09,90.81,5221.89,0,
2007-11-30 21:30:00,8.12,,,0.37,93.05,0,93.05,90.77,5221.93,0,
2007-12-01 09:30:00,8.07,,,0.32,93.1,0,93.1,90.82,5221.88,0,
2007-12-01 21:30:00,7.89,,,0.14,93.28,0,93.28,91,5221.7,0,
2007-12-02 09:30:00,7.8,,,0.05,93.37,0,93.37,91.09,5221.61,0,
2007-12-02 21:30:00,7.77,,,0.02,93.4,0,93.4,91.12,5221.58,0,
2007-12-03 09:30:00,7.8,,,0.05,93.37,0,93.37,91.09,5221.61,0,
