Well Name,PW02B
USGS Number,384651114025102
Water Right Number,0818011M00(2)
WIN,431934
Latitude (NAD83),38.780888
Longitude (NAD83),-114.04747
UTM (NAD83)
Easting,756476.17
Northing,4296602.95
Zone,11N
Ground Elevation (ft amsl),5459.3
Height of casing above ground surface (ft),1.41
Borehole depth (ft),998
Screened Interval (ft),615-635
Screened Unit,Permian Arcturus Formation
Barometric Efficiency,0.2
Completion date,10/11/2008
Logger type,Solinst
Barometric logger,Logger at Site 03
Start of barometric correction,2009-02-10
Start of barometric Efficiency,2009-12-01
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2009-02-10 10:36:00,,,,0,29.38,0,29.38,27.97,5431.33,1,
2009-02-11 10:54:39,17.59,13.56,,0,29.38,0,29.38,27.97,5431.33,0,
2009-02-11 22:54:39,17.63,13.56,,0.04,29.34,0,29.34,27.93,5431.37,0,
2009-02-12 10:54:39,17.63,13.56,,0.04,29.34,0,29.34,27.93,5431.37,0,
2009-02-12 22:54:39,17.65,13.56,,0.06,29.32,0,29.32,27.91,5431.39,0,
2009-02-13 10:54:39,17.64,13.56,,0.05,29.33,0,29.33,27.92,5431.38,0,
2009-02-13 22:54:39,17.7,13.56,,0.1,29.28,0,29.28,27.87,5431.43,0,
2009-02-14 10:54:39,17.65,13.56,,0.06,29.32,0,29.32,27.91,5431.39,0,
2009-02-14 22:54:39,17.65,13.56,,0.06,29.32,0,29.33,27.92,5431.38,0,
2009-02-15 10:54:39,17.63,13.56,,0.03,29.35,0,29.35,27.94,5431.36,0,
2009-02-15 22:54:39,17.69,13.56,,0.09,29.29,0,29.29,27.88,5431.42,0,
2009-02-16 10:54:39,17.69,13.56,,0.1,29.28,0,29.29,27.88,5431.42,0,
2009-02-16 22:54:39,17.76,13.56,,0.17,29.21,0,29.22,27.81,5431.49,0,
2009-02-17 10:54:39,17.72,13.56,,0.13,29.25,-0.01,29.25,27.84,5431.46,0,
2009-02-17 22:54:39,17.65,13.56,,0.05,29.33,-0.01,29.33,27.92,5431.38,0,
2009-02-18 10:54:39,17.61,13.56,,0.02,29.36,-0.01,29.37,27.96,5431.34,0,
2009-02-18 22:54:39,17.56,13.56,,-0.03,29.41,-0.01,29.42,28.01,5431.29,0,
2009-02-19 10:54:39,17.61,13.56,,0.01,29.37,-0.01,29.37,27.96,5431.34,0,
2009-02-19 22:54:39,17.63,13.55,,0.04,29.34,-0.01,29.35,27.94,5431.36,0,
2009-02-20 10:54:39,17.67,13.55,,0.08,29.3,-0.01,29.31,27.9,5431.4,0,
2009-02-20 22:54:39,17.63,13.55,,0.04,29.34,-0.01,29.35,27.94,5431.36,0,
2009-02-21 10:54:39,17.65,13.55,,0.06,29.32,-0.01,29.33,27.92,5431.38,0,
2009-02-21 22:54:39,17.62,13.55,,0.03,29.35,-0.01,29.36,27.95,5431.35,0,
2009-02-22 10:54:39,17.67,13.55,,0.08,29.3,-0.01,29.31,27.9,5431.4,0,
2009-02-22 22:54:39,17.67,13.55,,0.08,29.3,-0.01,29.31,27.9,5431.4,0,
2009-02-23 10:54:39,17.68,13.55,,0.09,29.29,-0.01,29.3,27.89,5431.41,0,
2009-02-23 22:54:39,17.68,13.55,,0.09,29.29,-0.01,29.3,27.89,5431.41,0,
2009-02-24 10:54:39,17.74,13.55,,0.15,29.23,-0.01,29.24,27.83,5431.47,0,
2009-02-24 22:54:39,17.71,13.55,,0.12,29.26,-0.01,29.27,27.86,5431.44,0,
2009-02-25 10:54:39,17.81,13.55,,0.22,29.16,-0.01,29.17,27.76,5431.54,0,
2009-02-25 22:54:39,17.69,13.55,,0.1,29.28,-0.01,29.29,27.88,5431.42,0,
2009-02-26 10:54:39,17.73,13.55,,0.14,29.24,-0.01,29.25,27.84,5431.46,0,
2009-02-26 22:54:39,17.7,13.55,,0.11,29.27,-0.01,29.29,27.88,5431.42,0,
2009-02-27 10:54:39,17.56,13.55,,-0.03,29.41,-0.01,29.43,28.02,5431.28,0,
2009-02-27 22:54:39,17.61,13.55,,0.02,29.36,-0.01,29.38,27.97,5431.33,0,
2009-02-28 10:54:39,17.57,13.55,,-0.03,29.41,-0.02,29.42,28.01,5431.29,0,
2009-02-28 22:54:39,17.66,13.55,,0.06,29.32,-0.02,29.33,27.92,5431.38,0,
2009-03-01 10:54:39,17.66,13.55,,0.07,29.31,-0.02,29.32,27.91,5431.39,0,
2009-03-01 22:54:39,17.73,13.54,,0.14,29.24,-0.02,29.26,27.85,5431.45,0,
2009-03-02 10:54:39,17.75,13.54,,0.16,29.22,-0.02,29.24,27.83,5431.47,0,
2009-03-02 22:54:39,17.8,13.54,,0.21,29.17,-0.02,29.19,27.78,5431.52,0,
2009-03-03 10:54:39,17.8,13.54,,0.21,29.17,-0.02,29.19,27.78,5431.52,0,
2009-03-03 22:54:39,17.79,13.54,,0.19,29.19,-0.02,29.2,27.79,5431.51,0,
2009-03-04 10:54:39,17.8,13.54,,0.21,29.17,-0.02,29.19,27.78,5431.52,0,
2009-03-04 22:54:39,17.67,13.54,,0.08,29.3,-0.02,29.32,27.91,5431.39,0,
2009-03-05 10:54:39,17.65,13.54,,0.06,29.32,-0.02,29.34,27.93,5431.37,0,
2009-03-05 22:54:39,17.68,13.54,,0.09,29.29,-0.02,29.31,27.9,5431.4,0,
2009-03-06 10:54:39,17.7,13.54,,0.11,29.27,-0.02,29.29,27.88,5431.42,0,
2009-03-06 22:54:39,17.62,13.54,,0.03,29.35,-0.02,29.37,27.96,5431.34,0,
2009-03-07 10:54:39,17.62,13.54,,0.02,29.36,-0.02,29.38,27.97,5431.33,0,
2009-03-07 22:54:39,17.62,13.54,,0.03,29.35,-0.02,29.37,27.96,5431.34,0,
2009-03-08 10:54:39,17.69,13.54,,0.1,29.28,-0.02,29.31,27.9,5431.4,0,
2009-03-08 22:54:39,17.74,13.54,,0.15,29.23,-0.02,29.25,27.84,5431.46,0,
2009-03-09 10:54:39,17.7,13.53,,0.11,29.27,-0.02,29.29,27.88,5431.42,0,
2009-03-09 22:54:39,17.62,13.53,,0.03,29.35,-0.02,29.37,27.96,5431.34,0,
2009-03-10 10:54:39,17.57,13.53,,-0.02,29.4,-0.02,29.43,28.02,5431.28,0,
2009-03-10 22:54:39,17.61,13.53,,0.02,29.36,-0.02,29.38,27.97,5431.33,0,
2009-03-11 10:54:39,17.6,13.53,,0.01,29.37,-0.03,29.4,27.99,5431.31,0,
2009-03-11 22:54:39,17.64,13.53,,0.05,29.33,-0.03,29.35,27.94,5431.36,0,
2009-03-12 10:54:39,17.59,13.53,,0,29.38,-0.03,29.41,28,5431.3,0,
2009-03-12 22:54:39,17.65,13.53,,0.06,29.32,-0.03,29.35,27.94,5431.36,0,
2009-03-13 10:54:39,17.6,13.53,,0.01,29.37,-0.03,29.4,27.99,5431.31,0,
2009-03-13 22:54:39,17.73,13.53,,0.14,29.24,-0.03,29.27,27.86,5431.44,0,
2009-03-14 10:54:39,17.71,13.53,,0.12,29.26,-0.03,29.29,27.88,5431.42,0,
2009-03-14 22:54:39,17.82,13.53,,0.23,29.15,-0.03,29.18,27.77,5431.53,0,
2009-03-15 10:54:39,17.73,13.53,,0.14,29.24,-0.03,29.27,27.86,5431.44,0,
2009-03-15 22:54:39,17.75,13.52,,0.16,29.22,-0.03,29.25,27.84,5431.46,0,
2009-03-16 10:54:39,17.73,13.52,,0.14,29.24,-0.03,29.27,27.86,5431.44,0,
2009-03-16 22:54:39,17.76,13.53,,0.17,29.21,-0.03,29.24,27.83,5431.47,0,
2009-03-17 10:54:39,17.71,13.52,,0.12,29.26,-0.03,29.29,27.88,5431.42,0,
2009-03-17 22:54:39,17.7,13.52,,0.11,29.27,-0.03,29.3,27.89,5431.41,0,
2009-03-18 10:54:39,17.66,13.52,,0.07,29.31,-0.03,29.34,27.93,5431.37,0,
2009-03-18 22:54:39,17.69,13.52,,0.1,29.28,-0.03,29.32,27.91,5431.39,0,
2009-03-19 10:54:39,17.74,13.52,,0.15,29.23,-0.03,29.27,27.86,5431.44,0,
2009-03-19 22:54:39,17.74,13.52,,0.14,29.24,-0.03,29.27,27.86,5431.44,0,
2009-03-20 10:54:39,17.76,13.52,,0.17,29.21,-0.03,29.24,27.83,5431.47,0,
2009-03-20 22:54:39,17.79,13.52,,0.2,29.18,-0.03,29.21,27.8,5431.5,0,
2009-03-21 10:54:39,17.87,13.52,,0.27,29.11,-0.03,29.14,27.73,5431.57,0,
2009-03-21 22:54:39,17.78,13.52,,0.19,29.19,-0.03,29.22,27.81,5431.49,0,
2009-03-22 10:54:39,17.82,13.51,,0.23,29.15,-0.03,29.18,27.77,5431.53,0,
2009-03-22 22:54:39,17.73,13.51,,0.14,29.24,-0.04,29.28,27.87,5431.43,0,
2009-03-23 10:54:39,17.65,13.51,,0.06,29.32,-0.04,29.35,27.94,5431.36,0,
2009-03-23 22:54:39,17.62,13.51,,0.03,29.35,-0.04,29.38,27.97,5431.33,0,
2009-03-24 10:54:39,17.64,13.51,,0.05,29.33,-0.04,29.37,27.96,5431.34,0,
2009-03-24 22:54:39,17.68,13.51,,0.08,29.3,-0.04,29.33,27.92,5431.38,0,
2009-03-25 10:54:39,17.73,13.51,,0.14,29.24,-0.04,29.28,27.87,5431.43,0,
2009-03-25 22:54:39,17.82,13.51,,0.23,29.15,-0.04,29.19,27.78,5431.52,0,
2009-03-26 10:54:39,17.67,13.51,,0.08,29.3,-0.04,29.34,27.93,5431.37,0,
2009-03-26 22:54:39,17.69,13.51,,0.1,29.28,-0.04,29.32,27.91,5431.39,0,
2009-03-27 10:54:39,17.61,13.51,,0.02,29.36,-0.04,29.4,27.99,5431.31,0,
2009-03-27 22:54:39,17.72,13.5,,0.12,29.26,-0.04,29.3,27.89,5431.41,0,
2009-03-28 10:54:39,17.71,13.5,,0.12,29.26,-0.04,29.3,27.89,5431.41,0,
2009-03-28 22:54:39,17.92,13.5,,0.33,29.05,-0.04,29.09,27.68,5431.62,0,
2009-03-29 10:54:39,17.71,13.5,,0.12,29.26,-0.04,29.3,27.89,5431.41,0,
2009-03-29 22:54:39,17.79,13.5,,0.2,29.18,-0.04,29.22,27.81,5431.49,0,
2009-03-30 10:54:39,17.64,13.5,,0.05,29.33,-0.04,29.37,27.96,5431.34,0,
2009-03-30 22:54:39,17.76,13.5,,0.17,29.21,-0.04,29.25,27.84,5431.46,0,
2009-03-31 10:54:39,17.73,13.5,,0.14,29.24,-0.04,29.29,27.88,5431.42,0,
2009-03-31 22:54:39,17.87,13.5,,0.28,29.1,-0.04,29.15,27.74,5431.56,0,
2009-04-01 10:54:39,17.72,13.5,,0.12,29.26,-0.04,29.3,27.89,5431.41,0,
2009-04-01 22:54:39,17.77,13.49,,0.18,29.2,-0.04,29.25,27.84,5431.46,0,
2009-04-02 10:54:39,17.84,13.49,,0.25,29.13,-0.04,29.17,27.76,5431.54,0,
2009-04-02 22:54:39,17.85,13.49,,0.26,29.12,-0.05,29.17,27.76,5431.54,0,
2009-04-03 10:54:39,17.81,13.49,,0.22,29.16,-0.05,29.2,27.79,5431.51,0,
2009-04-03 22:54:39,17.78,13.49,,0.19,29.19,-0.05,29.24,27.83,5431.47,0,
2009-04-04 10:54:39,17.71,13.49,,0.12,29.26,-0.05,29.31,27.9,5431.4,0,
