Well Name,PW03Z
USGS Number,385649113594601
Water Right Number,0818010M00(2)
WIN,431726
Latitude (NAD83),38.945763
Longitude (NAD83),-113.99699
UTM (NAD83)
Easting,240263.38
Northing,4315058.96
Zone,12N
Ground Elevation (ft amsl),5310.6
Height of casing above ground surface (ft),1.74
Borehole depth (ft),220
Screened Interval (ft),200-220
Screened Unit,Devonian Guilmette Formation
Barometric Efficiency,0
Completion date,08/09/2008
Logger type,Global Water
Barometric logger,Integrated Barometric Correction
Start of barometric correction,
Start of barometric Efficiency,
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2009-02-11 00:00:59,26.99,,,-0.03,174.08,0,174.08,172.34,5138.26,0,
2009-02-11 12:00:59,26.95,,,-0.07,174.12,0,174.12,172.38,5138.22,0,
2009-02-12 00:00:59,26.98,,,-0.04,174.09,0,174.09,172.35,5138.25,0,
2009-02-12 12:00:59,26.96,,,-0.06,174.11,0,174.11,172.37,5138.23,0,
2009-02-13 00:00:59,26.93,,,-0.09,174.14,0,174.14,172.4,5138.2,0,
2009-02-13 12:00:59,26.93,,,-0.09,174.14,0.01,174.13,172.39,5138.21,0,
2009-02-14 00:00:59,27.01,,,-0.01,174.06,0.01,174.05,172.31,5138.29,0,
2009-02-14 12:00:59,26.88,,,-0.14,174.19,0.01,174.18,172.44,5138.16,0,
2009-02-15 00:00:59,26.9,,,-0.12,174.17,0.01,174.16,172.42,5138.18,0,
2009-02-15 12:00:59,26.89,,,-0.13,174.18,0.01,174.17,172.43,5138.17,0,
2009-02-16 00:00:59,26.91,,,-0.11,174.16,0.01,174.15,172.41,5138.19,0,
2009-02-16 12:00:59,26.88,,,-0.14,174.19,0.01,174.18,172.44,5138.16,0,
2009-02-17 00:00:59,26.9,,,-0.12,174.17,0.01,174.16,172.42,5138.18,0,
2009-02-17 12:00:59,26.82,,,-0.2,174.25,0.01,174.24,172.5,5138.1,0,
2009-02-18 00:00:59,26.81,,,-0.21,174.26,0.01,174.25,172.51,5138.09,0,
2009-02-18 12:00:59,26.75,,,-0.27,174.32,0.01,174.31,172.57,5138.03,0,
2009-02-19 00:00:59,26.75,,,-0.27,174.32,0.01,174.31,172.57,5138.03,0,
2009-02-19 12:00:59,26.74,,,-0.28,174.33,0.02,174.31,172.57,5138.03,0,
2009-02-20 00:00:59,26.79,,,-0.23,174.28,0.02,174.26,172.52,5138.08,0,
2009-02-20 12:00:59,26.76,,,-0.26,174.31,0.02,174.29,172.55,5138.05,0,
2009-02-21 00:00:59,26.72,,,-0.3,174.35,0.02,174.33,172.59,5138.01,0,
2009-02-21 12:00:59,26.69,,,-0.33,174.38,0.02,174.36,172.62,5137.98,0,
