Well Name,PW04A
USGS Number,383452114023401
Water Right Number,0718001M00(10)
WIN,430319
Latitude (NAD83),38.581146
Longitude (NAD83),-114.04273
UTM (NAD83)
Easting,757603.47
Northing,4274445.36
Zone,11N
Ground Elevation (ft amsl),6180.2
Height of casing above ground surface (ft),2.02
Borehole depth (ft),983
Screened Interval (ft),730-750
Screened Unit,Tertiary volcanic rocks
Barometric Efficiency,0.33
Completion date,08/30/2007
Logger type,Global Water
Barometric logger,Integrated Barometric Correction
Start of barometric correction,
Start of barometric Efficiency,2009-12-02
Barometric correction integrated in Global Water loggers and performed by software function in Solinst loggers

Description of Fields
MeasuredLevel is the height of the water column (in feet) in the well above the logger
Temp is the water temperature (in degrees C) measured by the logger (if logger is equipped with thermometer)
DeltaLevel is the difference (in feet) between the current logger measurement and the initial logger measurement of the logging set (used for calculations)
MeasuredDTW is the depth to water (in feet) from the top of the casing; as measured by the logger or by manual tape measurement
BaroEfficiencyLevel is the MeasuredDTW value with any applicable corrections applied for barometric effects and barometric efficiency
DriftCorrection is a correction (in feet) applied to compensate for the drift in instrument readings between manual tape measurements
DTWBelowCasing is the depth to water (in feet) from the top of casing with the drift correction applied
DTWBelowGroundSurface is the depth to water (in feet) below the ground surface (the height of the casing has been subtracted from DTWBelowCasing)
WaterElevation is the elevation (in feet) of the top of the water column (above mean sea level); this is the value used to generate our graphs
Tape indicates if the measurement is a manual tape measurement (1) or a logger measurement (0)

DateTime,MeasuredLevel,Temp,BaroEfficiencyLevel,DeltaLevel,MeasuredDTW,DriftCorrection,DTWBelowCasing,DTWBelowGroundSurface,WaterElevation,Tape,
2007-08-30 10:41:00,,,,0,593.94,0,593.94,591.92,5588.28,1,
2007-08-30 17:49:00,,,,0,593.84,0,593.84,591.82,5588.38,1,
2007-10-23 00:00:00,,,,0,593.9,0,593.9,591.88,5588.32,1,
2008-02-28 14:41:00,,,,0,593.72,0,593.72,591.7,5588.5,1,
2008-02-29 01:54:45,15.51,,,0,593.72,0,593.72,591.7,5588.5,0,
2008-02-29 13:54:45,15.46,,,-0.05,593.77,0,593.77,591.75,5588.45,0,
2008-03-01 01:54:45,15.57,,,0.06,593.66,0,593.66,591.64,5588.56,0,
2008-03-01 13:54:45,15.68,,,0.17,593.55,-0.01,593.56,591.54,5588.66,0,
2008-03-02 01:54:45,15.53,,,0.02,593.7,-0.01,593.71,591.69,5588.51,0,
2008-03-02 13:54:45,15.49,,,-0.02,593.74,-0.01,593.75,591.73,5588.47,0,
2008-03-03 01:54:45,15.43,,,-0.08,593.8,-0.01,593.81,591.79,5588.41,0,
2008-03-03 13:54:45,15.63,,,0.12,593.6,-0.01,593.61,591.59,5588.61,0,
2008-03-04 01:54:45,15.73,,,0.22,593.5,-0.02,593.52,591.5,5588.7,0,
2008-03-04 13:54:45,15.75,,,0.24,593.48,-0.02,593.5,591.48,5588.72,0,
2008-03-05 01:54:45,15.72,,,0.21,593.51,-0.02,593.53,591.51,5588.69,0,
2008-03-05 13:54:45,15.6,,,0.09,593.63,-0.02,593.65,591.63,5588.57,0,
2008-03-06 01:54:45,15.65,,,0.14,593.58,-0.02,593.6,591.58,5588.62,0,
2008-03-06 13:54:45,15.64,,,0.13,593.59,-0.02,593.61,591.59,5588.61,0,
2008-03-07 01:54:45,15.54,,,0.03,593.69,-0.03,593.72,591.7,5588.5,0,
2008-03-07 13:54:45,15.67,,,0.16,593.56,-0.03,593.59,591.57,5588.63,0,
2008-03-08 01:54:45,15.76,,,0.25,593.47,-0.03,593.5,591.48,5588.72,0,
2008-03-08 13:54:45,15.77,,,0.26,593.46,-0.03,593.49,591.47,5588.73,0,
2008-03-09 01:54:45,15.59,,,0.08,593.64,-0.03,593.67,591.65,5588.55,0,
2008-03-09 13:54:45,15.63,,,0.12,593.6,-0.04,593.64,591.62,5588.58,0,
2008-03-10 01:54:45,15.63,,,0.12,593.6,-0.04,593.64,591.62,5588.58,0,
2008-03-10 13:54:45,15.62,,,0.11,593.61,-0.04,593.65,591.63,5588.57,0,
2008-03-11 01:54:45,15.62,,,0.11,593.61,-0.04,593.65,591.63,5588.57,0,
2008-03-11 13:54:45,15.64,,,0.13,593.59,-0.04,593.63,591.61,5588.59,0,
2008-03-12 01:54:45,15.64,,,0.13,593.59,-0.05,593.64,591.62,5588.58,0,
2008-03-12 13:54:45,15.76,,,0.25,593.47,-0.05,593.52,591.5,5588.7,0,
2008-03-13 01:54:45,15.74,,,0.23,593.49,-0.05,593.54,591.52,5588.68,0,
2008-03-13 13:54:45,15.69,,,0.18,593.54,-0.05,593.59,591.57,5588.63,0,
2008-03-14 01:54:45,15.81,,,0.3,593.42,-0.05,593.47,591.45,5588.75,0,
2008-03-14 13:54:45,15.7,,,0.19,593.53,-0.06,593.59,591.57,5588.63,0,
2008-03-15 01:54:45,15.87,,,0.36,593.36,-0.06,593.42,591.4,5588.8,0,
2008-03-15 13:54:45,15.87,,,0.36,593.36,-0.06,593.42,591.4,5588.8,0,
2008-03-16 01:54:45,15.84,,,0.33,593.39,-0.06,593.45,591.43,5588.77,0,
2008-03-16 13:54:45,15.81,,,0.3,593.42,-0.06,593.48,591.46,5588.74,0,
2008-03-17 01:54:45,15.68,,,0.17,593.55,-0.07,593.62,591.6,5588.6,0,
2008-03-17 13:54:45,15.67,,,0.16,593.56,-0.07,593.63,591.61,5588.59,0,
2008-03-18 01:54:45,15.61,,,0.1,593.62,-0.07,593.69,591.67,5588.53,0,
2008-03-18 13:54:45,15.64,,,0.13,593.59,-0.07,593.66,591.64,5588.56,0,
2008-03-19 01:54:45,15.65,,,0.14,593.58,-0.07,593.65,591.63,5588.57,0,
2008-03-19 13:54:45,15.71,,,0.2,593.52,-0.07,593.59,591.57,5588.63,0,
2008-03-20 01:54:45,15.77,,,0.26,593.46,-0.08,593.54,591.52,5588.68,0,
2008-03-20 13:54:45,15.58,,,0.07,593.65,-0.08,593.73,591.71,5588.49,0,
2008-03-21 01:54:45,15.68,,,0.17,593.55,-0.08,593.63,591.61,5588.59,0,
2008-03-21 13:54:45,15.63,,,0.12,593.6,-0.08,593.68,591.66,5588.54,0,
2008-03-22 01:54:45,15.56,,,0.05,593.67,-0.08,593.75,591.73,5588.47,0,
