date_time,dilation_ppb,wl_ft
39888.85417,2.928181689,92.606
39888.86458,1.28737701,92.611
39888.875,-0.245660912,92.616
39888.88542,-1.664335529,92.623
39888.89583,-2.964236053,92.63
39888.90625,-4.143119621,92.632
39888.91667,-5.20086274,92.636
39888.92708,-6.139383134,92.637
39888.9375,-6.962533334,92.637
39888.94792,-7.675967689,92.637
39888.95833,-8.286984686,92.633
39888.96875,-8.804346777,92.633
39888.97917,-9.238080105,92.629
39888.98959,-9.599256832,92.623
39889,-9.899762942,92.615
39889.01042,-10.15205467,92.611
39889.02084,-10.36890691,92.606
39889.03125,-10.56315712,92.602
39889.04167,-10.74744843,92.596
39889.05209,-10.93397586,92.591
39889.0625,-11.13423952,92.583
39889.07292,-11.35880876,92.576
39889.08334,-11.61710131,92.567
39889.09375,-11.91718127,92.562
39889.10417,-12.26557965,92.555
39889.11459,-12.667141,92.548
39889.125,-13.12489932,92.541
39889.13542,-13.63998606,92.532
39889.14584,-14.21157246,92.522
39889.15625,-14.83684818,92.521
39889.16667,-15.51103708,92.516
39889.17709,-16.22745102,92.51
39889.1875,-16.97758111,92.501
39889.19792,-17.75122555,92.499
39889.20834,-18.53665243,92.493
39889.21875,-19.32079476,92.49
39889.22917,-20.08947472,92.485
39889.23959,-20.82765317,92.479
39889.25001,-21.51969989,92.477
39889.26042,-22.14967957,92.472
39889.27084,-22.70164815,92.472
39889.28126,-23.15995371,92.469
39889.29167,-23.50953611,92.472
39889.30209,-23.73621935,92.468
39889.31251,-23.82699084,92.467
39889.32292,-23.77026214,92.466
39889.33334,-23.55610566,92.465
39889.34376,-23.17646296,92.465
39889.35417,-22.62532023,92.468
39889.36459,-21.89884782,92.47
39889.37501,-20.99550101,92.468
39889.38542,-19.91608041,92.467
39889.39584,-18.66375098,92.465
39889.40626,-17.24401974,92.462
39889.41667,-15.66467306,92.463
39889.42709,-13.93567514,92.46
39889.43751,-12.06903026,92.455
39889.44792,-10.078612,92.45
39889.45834,-7.979963227,92.45
39889.46876,-5.790071171,92.45
39889.47918,-3.527122363,92.452
39889.48959,-1.210242406,92.447
39889.50001,1.140774225,92.448
39889.51043,3.505739187,92.448
39889.52084,5.864344961,92.444
39889.53126,8.196434328,92.443
39889.54168,10.48226005,92.44
39889.55209,12.70273051,92.445
39889.56251,14.83963767,92.444
39889.57293,16.87586398,92.444
39889.58334,18.7955658,92.443
39889.59376,20.58433122,92.445
39889.60418,22.22931077,92.447
39889.61459,23.71932044,92.447
39889.62501,25.0449166,92.452
39889.63543,26.19844327,92.455
39889.64584,27.17405251,92.456
39889.65626,27.96769946,92.462
39889.66668,28.57711341,92.463
39889.67709,29.00174725,92.465
39889.68751,29.24270752,92.467
39889.69793,29.30266738,92.468
39889.70834,29.18576541,92.476
39889.71876,28.8974926,92.482
39889.72918,28.44457033,92.479
39889.7396,27.83482181,92.488
39889.75001,27.07703938,92.491
39889.76043,26.1808499,92.499
39889.77085,25.15658023,92.505
39889.78126,24.01512458,92.509
39889.79168,22.76781512,92.515
39889.8021,21.42629723,92.519
39889.81251,20.00241017,92.529
39889.82293,18.50807405,92.534
39889.83335,16.95518334,92.537
39889.84376,15.35550746,92.542
39889.85418,13.72059822,92.542
39889.8646,12.06170434,92.547
39889.87501,10.38969265,92.548
39889.88543,8.71497592,92.55
39889.89585,7.047447043,92.555
39889.90626,5.39641932,92.555
39889.91668,3.770572748,92.562
39889.9271,2.177906209,92.562
39889.93751,0.625695597,92.565
39889.94793,-0.879541977,92.569
39889.95835,-2.332077626,92.57
39889.96877,-3.726993416,92.57
39889.97918,-5.060197891,92.571
39889.9896,-6.328433866,92.568
39890.00002,-7.529277861,92.568
39890.01043,-8.661130623,92.565
39890.02085,-9.723198131,92.562
39890.03127,-10.71546263,92.563
39890.04168,-11.63864336,92.559
39890.0521,-12.49414674,92.557
39890.06252,-13.28400615,92.558
39890.07293,-14.01081148,92.554
39890.08335,-14.6776292,92.553
39890.09377,-15.28791358,92.549
39890.10418,-15.84541045,92.547
39890.1146,-16.35405486,92.542
39890.12502,-16.81786443,92.537
39890.13543,-17.24083038,92.532
39890.14585,-17.6268084,92.527
39890.15627,-17.9794118,92.518
39890.16668,-18.30190933,92.514
39890.1771,-18.59713011,92.509
39890.18752,-18.86737813,92.502
39890.19793,-19.11435844,92.5
39890.20835,-19.3391173,92.493
39890.21877,-19.54199785,92.491
39890.22919,-19.7226128,92.484
39890.2396,-19.87983516,92.478
39890.25002,-20.01180755,92.473
39890.26044,-20.11597016,92.465
39890.27085,-20.18910709,92.461
39890.28127,-20.22740993,92.457
39890.29169,-20.22655754,92.449
39890.3021,-20.18181005,92.44
39890.31252,-20.08811498,92.435
39890.32294,-19.94022299,92.432
39890.33335,-19.73281062,92.435
39890.34377,-19.46060705,92.432
39890.35419,-19.11852193,92.428
39890.3646,-18.70177139,92.423
39890.37502,-18.20599933,92.417
39890.38544,-17.62739137,92.413
39890.39585,-16.96277892,92.409
39890.40627,-16.20973144,92.409
39890.41669,-15.36663503,92.406
39890.4271,-14.43275605,92.399
39890.43752,-13.4082889,92.392
39890.44794,-12.29438749,92.388
39890.45836,-11.09318036,92.385
39890.46877,-9.807769836,92.386
39890.47919,-8.44221596,92.387
39890.48961,-7.001506365,92.388
39890.50002,-5.491513337,92.387
39890.51044,-3.918939716,92.389
39890.52086,-2.291255322,92.389
39890.53127,-0.616625726,92.39
39890.54169,1.096164855,92.391
39890.55211,2.837794752,92.393
39890.56252,4.598488497,92.394
39890.57294,6.36810143,92.396
39890.58336,8.136203974,92.396
39890.59377,9.892164508,92.399
39890.60419,11.62523001,92.404
39890.61461,13.3246039,92.412
39890.62502,14.97952081,92.413
39890.63544,16.57931809,92.416
39890.64586,18.11350429,92.416
39890.65627,19.57182485,92.419
39890.66669,20.94432551,92.422
39890.67711,22.22141381,92.424
39890.68753,23.39391952,92.427
39890.69794,24.45315436,92.428
39890.70836,25.39097159,92.428
39890.71878,26.19982606,92.429
39890.72919,26.87283469,92.429
39890.73961,27.4038379,92.433
39890.75003,27.7874615,92.432
39890.76044,28.01917907,92.436
39890.77086,28.09537407,92.436
39890.78128,28.0134009,92.438
39890.79169,27.77164403,92.437
39890.80211,27.36957376,92.441
39890.81253,26.80779732,92.442
39890.82294,26.08810365,92.444
39890.83336,25.21350013,92.446
39890.84378,24.1882396,92.448
39890.85419,23.01783576,92.449
39890.86461,21.70906535,92.449
39890.87503,20.26995543,92.451
39890.88544,18.70975442,92.452
39890.89586,17.03888564,92.453
39890.90628,15.26888259,92.456
39890.91669,13.41230542,92.458
39890.92711,11.48263849,92.459
39890.93753,9.494169396,92.463
39890.94795,7.461850249,92.465
39890.95836,5.401142563,92.464
39890.96878,3.327847501,92.468
39890.9792,1.257923764,92.472
39890.98961,-0.792704197,92.471
39891.00003,-2.808344525,92.473
39891.01045,-4.77373944,92.475
39891.02086,-6.674266151,92.476
39891.03128,-8.496133311,92.477
39891.0417,-10.22656905,92.481
39891.05211,-11.85399661,92.484
39891.06253,-13.36819372,92.484
39891.07295,-14.76043211,92.485
