julday,date_time,V_mgal,vert_mm,areal_mm,WDD_tam,,,,,,O1,M2,A_O1,PHI_O1,A_M2,PHI_M2
2456356.438,3/4/2013 22:30,0.032574828,55.1166091,1.83E-12,-331.5480978,500.177345,,,,c0,500,5000,0.01,-5,0.4,-1.5
2456356.479,3/4/2013 23:30,0.0584272,98.85882324,3.28E-12,-588.4249133,499.979476,,,,c1,0.036,-0.082,,,,
2456356.521,3/5/2013 0:30,0.077972158,131.928892,4.38E-12,-782.6293931,499.785789,,,,c2,0.061,0.027,,,,
2456356.563,3/5/2013 1:30,0.088551729,149.8295248,4.97E-12,-887.751131,499.644436,,,,f,0.9295,1.9324,,,,
2456356.604,3/5/2013 2:30,0.088818063,150.2801626,4.99E-12,-890.3975084,499.590536,,,,,O1,M2,,,,
2456356.646,3/5/2013 3:30,0.078913672,133.5219337,4.43E-12,-791.9845548,499.637396,,,,,-1.037640621,0.318087567,,,,
2456356.688,3/5/2013 4:30,0.060438782,102.2624198,3.40E-12,-608.4125858,499.773186,,,,,-59.45242825,18.22507511,phase degrees,,,
2456356.729,3/5/2013 5:30,0.036206007,61.26056462,2.03E-12,-367.6285697,499.963910,,,,,,,,,,
2456356.771,3/5/2013 6:30,0.00979187,16.56784324,5.50E-13,-105.1698859,500.161921,,,,,,,,,,
2456356.813,3/5/2013 7:30,-0.01507755,-25.5112139,-8.47E-13,141.9400149,500.317850,,,,,,,,,,
2456356.854,3/5/2013 8:30,-0.035220952,-59.59385144,-1.98E-12,342.0908205,500.392960,,,,,,,,,,
2456356.896,3/5/2013 9:30,-0.048636225,-82.29249221,-2.73E-12,475.3889325,500.368831,,,,,,,,,,
2456356.938,3/5/2013 10:30,-0.054905047,-92.89933904,-3.08E-12,537.6778013,500.251951,,,,,"L$2+L$3*COS(2*PI()*L$5*$A2)+L$4*SIN(2*PI()*L$5*$A2)+RANDBETWEEN(0,50)+M$3*COS(2*PI()*M$5*$A2)+M$4*SIN(2*PI()*M$5*$A2)",,,,,
2456356.979,3/5/2013 11:30,-0.055222375,-93.43625795,-3.10E-12,540.8308657,500.072066,,,,,,,,,,
2456357.021,3/5/2013 12:30,-0.051995818,-87.97692346,-2.92E-12,508.7708412,499.874699,,,,,,,,,,
2456357.063,3/5/2013 13:30,-0.048095014,-81.37676374,-2.70E-12,470.0113031,499.709718,,,,,L$2+N$2*COS(2*PI()*L$5*A2+O$2*PI()/180)+P$2*COS(2*PI()*M$5*B2+Q$2*PI()/180),,,,,
2456357.104,3/5/2013 14:30,-0.045960103,-77.7644937,-2.58E-12,448.7981926,499.618821,,,,,,,,,,
2456357.146,3/5/2013 15:30,-0.046843038,-79.25842095,-2.63E-12,457.571303,499.625063,,,,,,,,,,
