julday,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft,,
2456356.167,3/4/2013 16:00,-39.72533317,67.21526372,305.5672627,-402.5976305,-12652.90105,0.384985005,13.82702431,0.384985005,6.124549913
2456356.208,3/4/2013 17:00,-59.63911844,100.9093884,458.744099,-600.4668883,-18995.37826,0.740164105,12.77367156,0.740164105,14.9820394
2456356.25,3/4/2013 18:00,-72.84544079,123.2544858,560.3271305,-731.6888116,-23201.54989,1.075766793,12.27845335,1.075766793,8.096752818
2456356.292,3/4/2013 19:00,-77.58683935,131.2769322,596.7979683,-778.8007495,-24711.67024,1.266889335,15.48271442,1.266889335,12.3993995
2456356.333,3/4/2013 20:00,-73.33579053,124.0841576,564.0989007,-736.5610716,-23357.72472,1.229772197,15.12047312,1.229772197,12.09646403
2456356.375,3/4/2013 21:00,-60.85849507,102.9725737,468.1235441,-612.5829751,-19383.74584,0.928422972,13.68299537,0.928422972,22.91404742
2456356.417,3/4/2013 22:00,-42.09479619,71.22439516,323.7931723,-426.1413156,-13407.56748,0.390138971,8.857530716,0.390138971,14.76348967
2456356.458,3/4/2013 23:00,-19.85706831,33.59815957,152.7405694,-205.1806768,-6324.921935,-0.278259712,10.24866507,-0.278259712,23.12396384
2456356.5,3/5/2013 0:00,2.634191467,-4.457051962,-20.26220076,18.29912981,838.4727043,-0.982119809,19.73216342,-0.982119809,12.88559346
2456356.542,3/5/2013 1:00,22.32676961,-37.77689418,-171.7375119,213.9704083,7110.496155,-1.566354187,7.099633813,-1.566354187,16.77185404
2456356.583,3/5/2013 2:00,36.92699243,-62.48047119,-284.0424258,359.0425387,11760.62064,-1.908624004,9.323652227,-1.908624004,-2.582021869
2456356.625,3/5/2013 3:00,45.36589134,-76.75908815,-348.9544362,442.8939333,14448.38308,-1.959394221,7.265495844,-1.959394221,11.78284908
2456356.667,3/5/2013 4:00,47.99837228,-81.21324589,-369.2034796,469.0510421,15286.81988,-1.705053497,1.402576357,-1.705053497,-6.215552493
2456356.708,3/5/2013 5:00,46.44237071,-78.58049123,-357.2347155,453.5901505,14791.23833,-1.223382341,-0.819301117,-1.223382341,4.488563339
2456356.75,3/5/2013 6:00,43.06629749,-72.86817536,-331.2659603,420.0444889,13715.96976,-0.602071646,11.96024512,-0.602071646,0.381786273
2456356.792,3/5/2013 7:00,40.25338713,-68.10873102,-309.6290538,392.0945799,12820.06677,0.014385579,0.342644892,0.014385579,3.799716759
2456356.833,3/5/2013 8:00,39.66064557,-67.10581231,-305.0696857,386.2049245,12631.28047,0.492080337,15.81769824,0.492080337,11.18863512
