PW03 baro,,,,,,,,
Date,Time,DateTime,Level,Temperature,,,,
2/27/2008,15:53:58,2008-02-27 15:53:58,2.87472,19.304,39505.66248,,,
2/27/2008,16:53:58,2008-02-27 16:53:58,2.84478,10.759,39505.70414,,,
2/27/2008,17:53:58,2008-02-27 17:53:58,2.82446,8.275,0.041666667,1,0.000694444,
2/27/2008,18:53:58,2008-02-27 18:53:58,2.82081,7.681,,,,
2/27/2008,19:53:58,2008-02-27 19:53:58,2.82094,7.534,,,,
2/27/2008,20:53:58,2008-02-27 20:53:58,2.82539,7.511,,,,
2/27/2008,21:53:58,2008-02-27 21:53:58,2.83743,7.486,,,,
2/27/2008,22:53:58,2008-02-27 22:53:58,2.84334,7.482,,,,
2/27/2008,23:53:58,2008-02-27 23:53:58,2.84763,7.482,,,,
2/28/2008,0:53:58,2008-02-28 00:53:58,2.86238,7.482,,,,
2/28/2008,1:53:58,2008-02-28 01:53:58,2.8705,7.484,,,,
2/28/2008,2:53:58,2008-02-28 02:53:58,2.88583,7.501,,,,
2/28/2008,3:53:58,2008-02-28 03:53:58,2.88306,7.483,,,,
2/28/2008,4:53:58,2008-02-28 04:53:58,2.89193,7.474,,,,
2/28/2008,5:53:58,2008-02-28 05:53:58,2.89975,7.471,,,,
2/28/2008,6:53:58,2008-02-28 06:53:58,2.88572,7.472,,,,
2/28/2008,7:53:58,2008-02-28 07:53:58,2.9014,7.474,,,,
2/28/2008,8:53:58,2008-02-28 08:53:58,2.92208,7.471,,,,
2/28/2008,9:53:58,2008-02-28 09:53:58,2.93725,7.468,,,,
2/28/2008,10:53:58,2008-02-28 10:53:58,2.93952,7.469,,,,
2/28/2008,11:53:58,2008-02-28 11:53:58,2.92882,7.46,,,,
2/28/2008,12:53:58,2008-02-28 12:53:58,2.9055,7.477,,,,
2/28/2008,13:53:58,2008-02-28 13:53:58,2.88959,7.479,,,,
2/28/2008,14:53:58,2008-02-28 14:53:58,2.88017,7.463,,,,
2/28/2008,15:53:58,2008-02-28 15:53:58,2.87012,7.464,,,,
2/28/2008,16:53:58,2008-02-28 16:53:58,2.86879,7.472,,,,
2/28/2008,17:53:58,2008-02-28 17:53:58,2.88776,12.257,,,,
2/28/2008,18:53:58,2008-02-28 18:53:58,2.89042,8.577,,,,
2/28/2008,19:53:58,2008-02-28 19:53:58,2.91435,7.8,,,,
2/28/2008,20:53:58,2008-02-28 20:53:58,2.94033,7.594,,,,
2/28/2008,21:53:58,2008-02-28 21:53:58,2.95124,7.549,,,,
2/28/2008,22:53:58,2008-02-28 22:53:58,2.95806,7.531,,,,
2/28/2008,23:53:58,2008-02-28 23:53:58,2.96085,7.514,,,,
2/29/2008,0:53:58,2008-02-29 00:53:58,2.96551,7.517,,,,
2/29/2008,1:53:58,2008-02-29 01:53:58,2.96502,7.531,,,,
2/29/2008,2:53:58,2008-02-29 02:53:58,2.97234,7.524,,,,
2/29/2008,3:53:58,2008-02-29 03:53:58,2.97471,7.529,,,,
2/29/2008,4:53:58,2008-02-29 04:53:58,2.97533,7.536,,,,
2/29/2008,5:53:58,2008-02-29 05:53:58,2.98079,7.529,,,,
2/29/2008,6:53:58,2008-02-29 06:53:58,2.9842,7.522,,,,
2/29/2008,7:53:58,2008-02-29 07:53:58,2.98756,7.524,,,,
2/29/2008,8:53:58,2008-02-29 08:53:58,2.99689,7.51,,,,
2/29/2008,9:53:58,2008-02-29 09:53:58,2.99353,7.537,,,,
2/29/2008,10:53:58,2008-02-29 10:53:58,2.98276,7.532,,,,
2/29/2008,11:53:58,2008-02-29 11:53:58,2.96727,7.538,,,,
2/29/2008,12:53:58,2008-02-29 12:53:58,2.93901,7.55,,,,
2/29/2008,13:53:58,2008-02-29 13:53:58,2.90842,7.542,,,,
2/29/2008,14:53:58,2008-02-29 14:53:58,2.87815,7.538,,,,
2/29/2008,15:53:58,2008-02-29 15:53:58,2.85833,7.531,,,,
2/29/2008,16:53:58,2008-02-29 16:53:58,2.84269,7.525,,,,
2/29/2008,17:53:58,2008-02-29 17:53:58,2.84822,7.535,,,,
2/29/2008,18:53:58,2008-02-29 18:53:58,2.85577,7.536,,,,
