,,A2 O1,A2 M2,Phase Shift O1,Phase Shift M2,Phase Shift O1,Phase Shift M2,Transmissivity M2,Transmissivity O1,Specific Storage,,Phase WL O1,Phase Tide O1,Phase WL M2,Phase Tide M2,,,,,Regression of phase function,,
,,ft²/s2,ft²/s3,degrees,degrees,hours,hours,sq ft/day,sq ft/day,1/ft,1/ft,degrees,degrees,degrees,degrees,,,,,,,
wellid,well,tidal_pot_O1,tidal_pot_M2,phs_shft_O1,phs_shft_M2,phs_sft_O1_hr,phs_sft_M2_hr,Trans_M2,Trans_O1,Ss_O1,Ss_M2,phs_WL_O1,phs_td_O1,phs_WL_M2,phs_td_M2,amp_WL_O1,amp_td_O1,amp_WL_M2,amp_td_M2,be_est,early_slope,response_type
,,,,,,,,,,,,,,,,,,,,,,
BLM,BLM-1,10.22577751,16.69779193,-1.893086573,2.209911466,-0.13577813,0.076240649,-1637.317058,-2870.094819,2.24E-07,1.50E-07,0.081862744,1.974949317,1.782432011,-0.427479455,0.031715148,0.037894938,0.077369889,0.106707602,0.609373952,0.010991785,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-1.8930865690760175,2.2099114674455662,-0.13577812939401238,0.07624064953582993,-1637.3170577540075,-2870.0948081645274,2.2430838657504262e-07,1.501422735939725e-07,0.081862743692476675,1.9749493127684941,1.7824320109255616,-0.42747945652000469,0.031715148144365116,0.03789493773205071,0.07736988900936355,0.10670760267840193,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-1.8930865690760175,2.2099114674455662,-0.13577812939401238,0.07624064953582993,-1637.3170577540075,-2870.0948081645274,2.2430838657504262e-07,1.501422735939725e-07,0.081862743692476675,1.9749493127684941,1.7824320109255616,-0.42747945652000469,0.031715148144365116,0.03789493773205071,0.07736988900936355,0.10670760267840193,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,4.3943050205899281,-4.0706049986571067,0.31517339218862672,-0.14043348508442374,-6335.0033066898641,-434.12650799968571,9.801094222639054e-08,1.354740437568819e-07,1.6185196691189834,-2.7757853514709447,-2.9893403253780346,1.0812646732790716,0.072583464138308,313.19178098408264,0.08574698681339868,426.27864242788564,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-4.3943050217865123,4.0706049919342817,-0.31517339227444952,0.14043348485249024,-1343.03638241198,2304.4873415493071,9.801094222639054e-08,1.354740437568819e-07,-1.6185196691189834,2.7757853526675289,2.9893403253780346,-1.0812646665562471,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-1.8888802853930742,-0.9290123383444886,-0.13547644148417243,-0.032050380816410977,-2599.8991409109567,-2859.3158348660077,9.801094222639054e-08,1.354740437568819e-07,-1.52307298447081,0.36580730092226421,0.15225232821175849,1.0812646665562471,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
BLM,BLM-1,10.225777506945075,16.69779193193975,-108.22495977220241,-233.22868310255976,-7.7622348769734568,-8.0462527807410389,56.410423585051333,28.237827045145512,9.801094222639054e-08,1.354740437568819e-07,-177.26580363059063,-69.040843858388214,-81.276652823877356,151.9520302786824,0.072583464138308,15.537921325694416,0.08574698681339868,21.14833282691922,0.60937395242799264,0.01099178542318211,borehole storage
